Temperature dependence of enthalpy
  T       Zn(NO3)2         NH2CH2COOH       C6H8O7           O2               ZnO              CO2              H2O              N2               C                
419       -111307.700000   -123433.510000   -362235.360000   870.975706       -82561.425458    -92880.563540    -56805.988890    853.841812       339.391240       
420       -111271.400000   -123409.820000   -362181.520000   878.327907       -82550.442445    -92870.283177    -56797.656920    860.981172       342.740247       
421       -111235.100000   -123386.130000   -362127.680000   885.682189       -82539.452327    -92859.995154    -56789.322490    868.121757       346.095902       
422       -111198.800000   -123362.440000   -362073.840000   893.038542       -82528.455146    -92849.699509    -56780.985600    875.263563       349.458164       
423       -111162.500000   -123338.750000   -362020.000000   900.396960       -82517.450944    -92839.396282    -56772.646250    882.406588       352.826995       
424       -111126.200000   -123315.060000   -361966.160000   907.757435       -82506.439761    -92829.085511    -56764.304440    889.550830       356.202357       
425       -111089.900000   -123291.370000   -361912.320000   915.119959       -82495.421638    -92818.767235    -56755.960170    896.696288       359.584212       
426       -111053.600000   -123267.680000   -361858.480000   922.484526       -82484.396615    -92808.441493    -56747.613440    903.842958       362.972521       
427       -111017.300000   -123243.990000   -361804.640000   929.851127       -82473.364732    -92798.108321    -56739.264250    910.990838       366.367248       
428       -110981.000000   -123220.300000   -361750.800000   937.219756       -82462.326030    -92787.767757    -56730.912600    918.139927       369.768356       
429       -110944.700000   -123196.610000   -361696.960000   944.590405       -82451.280546    -92777.419838    -56722.558490    925.290222       373.175807       
430       -110908.400000   -123172.920000   -361643.120000   951.963068       -82440.228320    -92767.064600    -56714.201920    932.441720       376.589566       
431       -110872.100000   -123149.230000   -361589.280000   959.337737       -82429.169390    -92756.702081    -56705.842890    939.594421       380.009597       
432       -110835.800000   -123125.540000   -361535.440000   966.714405       -82418.103795    -92746.332316    -56697.481400    946.748321       383.435864       
433       -110799.500000   -123101.850000   -361481.600000   974.093065       -82407.031571    -92735.955340    -56689.117450    953.903419       386.868331       
434       -110763.200000   -123078.160000   -361427.760000   981.473711       -82395.952757    -92725.571190    -56680.751040    961.059713       390.306965       
435       -110726.900000   -123054.470000   -361373.920000   988.856335       -82384.867389    -92715.179899    -56672.382170    968.217201       393.751729       
